Semiconductors,gap
Na0.5K0.5Ga0.5In0.5S1Te1_stannite,0.69
Na0.5K0.5Ga0.5In0.5Se2_kesterite,2.35
Na0.5K0.5Ga0.5In0.5Se2_stannite,1.57
Na0.5K0.5Ga1S2_kesterite,3.62
Na0.5K0.5In1S1Se1_kesterite,2.45
Na0.5K0.5In1S1Se1_stannite,1.64
Na0.5K0.5In1Te2_kesterite,1.68
Na0.5K0.5In1Te2_stannite,1
Na0.5K0.5Rb0.5Ag0.5Sr0.5Cd0.5Sn0.5Ge0.5S4_kesterite,2.01
Na0.5K0.5Rb0.5Ag0.5Sr0.5Cd0.5Sn0.5Ge0.5S4_stannite,2.02
Na0.5K0.5Rb0.5Ag0.5Sr1Sn1S2Se1Te1_kesterite,2.05
Na0.5K0.5Rb0.5Ag0.5Sr1Sn1S2Se1Te1_stannite,1.66
Na0.5K0.5Rb0.5Cs0.5Mg0.5Zn0.5Sn1S2Te2_stannite,0.55
Na0.5K0.5Rb0.5Cs0.5Sr0.5Ba0.5Ge1S4_stannite,3.34
Na0.5K0.5Rb0.5Cu0.5Ca0.5Sr0.5Sn0.5Ge0.5S3Se1_stannite,0.49
Na0.5K0.5Rb0.5Cu0.5Mg0.5Ba0.5Ge1S3Te1_kesterite,0.18
Na0.5K0.5Rb0.5Cu0.5Mg0.5Ba0.5Ge1S3Te1_stannite,1.6
Na0.5K0.5Rb0.5Cu0.5Mg0.5Cd0.5Sn0.5Ge0.5S3Te1_stannite,0.32
Na0.5K0.5Rb0.5Cu0.5Mg0.5Zn0.5Sn1S2Se2_stannite,-0.53
Na0.5K0.5Rb0.5Cu0.5Sr0.5Cd0.5Sn1S4_kesterite,2.03
Na0.5K0.5Rb0.5Cu0.5Sr0.5Cd0.5Sn1S4_stannite,0
Na0.5K0.5Rb0.5Cu0.5Zn1Sn0.5Ge0.5S4_stannite,1.74
Na0.5K0.5Rb1Ba0.5Cd0.5Ge1S2Se2_stannite,1.81
Na0.5K0.5Rb1Cd1Sn0.5Ge0.5Te4_stannite,0.88
Na0.5K0.5Rb1Mg0.5Cd0.5Sn0.5Ge0.5S1Se1Te2_stannite,0.39
Na0.5K0.5Rb1Mg0.5Cd0.5Sn1S2Te2_kesterite,2.24
Na0.5K0.5Rb1Mg0.5Cd0.5Sn1S2Te2_stannite,0.74
Na0.5K0.5Rb1Mg0.5Cd0.5Sn1S4_kesterite,3.06
Na0.5K0.5Rb1Mg0.5Cd0.5Sn1S4_stannite,1.77
Na0.5K1Ag0.5Ca0.5Ba0.5Ge1S2Te2_stannite,1.83
Na0.5K1Ag0.5Cd1Ge1S2Se2_kesterite,2.4
Na0.5K1Ag0.5Cd1Ge1S2Se2_stannite,1.46
Na0.5K1Ag0.5Cd1Sn1Se1Te3_stannite,0.44
Na0.5K1Ag0.5Mg0.5Ca0.5Sn0.5Ge0.5S3Te1_stannite,0.68
Na0.5K1Ag0.5Mg0.5Ca0.5Sn1S2Se1Te1_kesterite,2.65
Na0.5K1Ag0.5Mg0.5Ca0.5Sn1S2Se1Te1_stannite,0.77
Na0.5K1Ag0.5Mg1Sn0.5Ge0.5S1Se3_kesterite,2.2
Na0.5K1Ag0.5Mg1Sn0.5Ge0.5S1Se3_stannite,1.23
Na0.5K1Ag0.5Zn0.5Cd0.5Ge1S4_kesterite,3
Na0.5K1Ag0.5Zn0.5Cd0.5Ge1S4_stannite,1.88
Na0.5K1Ag0.5Zn1Sn1Se1Te3_kesterite,1.73
Na0.5K1Ag0.5Zn1Sn1Se1Te3_stannite,0.12
Na0.5K1Cs0.5Ba1Sn0.5Ge0.5S1Se3_stannite,2.66
Na0.5K1Cs0.5Mg0.5Cd0.5Sn1S1Se2Te1_stannite,0.49
Na0.5K1Cu0.5Ca0.5Sr0.5Sn0.5Ge0.5S3Te1_stannite,1.68
Na0.5K1Cu0.5Mg0.5Ca0.5Sn0.5Ge0.5S1Se1Te2_stannite,1.31
Na0.5K1Cu0.5Mg0.5Ca0.5Sn0.5Ge0.5Te4_stannite,0.87
Na0.5K1Cu0.5Zn0.5Cd0.5Ge1S1Se3_stannite,0.93
Na0.5K1Cu0.5Zn1Sn1S2Se1Te1_kesterite,2.12
Na0.5K1Cu0.5Zn1Sn1S2Se1Te1_stannite,-0.33
Na0.5K1Rb0.5Ca0.5Cd0.5Ge1S1Te3_kesterite,2.26
Na0.5K1Rb0.5Ca0.5Cd0.5Ge1S1Te3_stannite,0.76
Na0.5K1Rb0.5Ca1Ge1S2Te2_stannite,1.3
Na0.5K1Rb0.5Cd1Sn0.5Ge0.5S3Te1_stannite,0.37
Na0.5K1Rb0.5Sr0.5Ba0.5Sn0.5Ge0.5Te4_stannite,1.56
Na0.5K1Rb0.5Sr0.5Cd0.5Sn0.5Ge0.5Se1Te3_stannite,0.9
Na0.5K1Rb0.5Zn0.5Cd0.5Ge1S1Se2Te1_stannite,0.11
Na0.5Rb0.5Ag1Ca0.5Ba0.5Sn1S1Se2Te1_stannite,1.51
Na0.5Rb0.5Ag1Ca0.5Sr0.5Ge1S2Se1Te1_kesterite,2.11
Na0.5Rb0.5Ag1Mg0.5Sr0.5Sn0.5Ge0.5S2Te2_kesterite,2.08
Na0.5Rb0.5Ag1Mg0.5Sr0.5Sn0.5Ge0.5S2Te2_stannite,1.21
Na0.5Rb0.5Ag1Sr0.5Ba0.5Ge1S1Se2Te1_kesterite,1.11
Na0.5Rb0.5Ag1Sr0.5Ba0.5Ge1S3Se1_kesterite,1.91
Na0.5Rb0.5Ag1Sr0.5Ba0.5Ge1S3Se1_stannite,2.55
Na0.5Rb0.5Al0.5In0.5S1Te1_kesterite,2.62
Na0.5Rb0.5Al0.5In0.5S1Te1_stannite,0.8
Na0.5Rb0.5Al0.5In0.5S2_kesterite,3.37
Na0.5Rb0.5Al0.5In0.5Se1Te1_kesterite,2.24
Na0.5Rb0.5Al0.5In0.5Se1Te1_stannite,0.79
Na0.5Rb0.5Al0.5In0.5Se2_kesterite,2.6
Na0.5Rb0.5Al0.5In0.5Se2_stannite,1.61
Na0.5Rb0.5Al0.5In0.5Te2_kesterite,2.1
Na0.5Rb0.5Al0.5In0.5Te2_stannite,1
Na0.5Rb0.5Cs0.5Ag0.5Ca1Sn0.5Ge0.5S2Se2_stannite,1.39
Na0.5Rb0.5Cs0.5Ag0.5Mg0.5Ba0.5Sn1S2Se1Te1_kesterite,1.65
Na0.5Rb0.5Cs0.5Cu0.5Ba1Sn1S3Se1_stannite,-0.12
Na0.5Rb0.5Cs0.5Cu0.5Ca1Ge1S1Se3_kesterite,1.31
Na0.5Rb0.5Cs0.5Cu0.5Ca1Sn1S4_stannite,-0.46
Na0.5Rb0.5Cs0.5Cu0.5Mg0.5Ca0.5Sn1S1Se1Te2_kesterite,-0.84
Na0.5Rb0.5Cs0.5Cu0.5Mg0.5Zn0.5Sn0.5Ge0.5Se1Te3_kesterite,-0.78
Na0.5Rb0.5Cs1Ca1Ge1S3Te1_stannite,0.92
Na0.5Rb0.5Cs1Mg0.5Ca0.5Ge1S1Se2Te1_kesterite,2.43
Na0.5Rb0.5Cu0.5Ag0.5Ca0.5Cd0.5Ge1Se4_kesterite,1.65
Na0.5Rb0.5Cu0.5Ag0.5Ca0.5Cd0.5Ge1Se4_stannite,1.28
Na0.5Rb0.5Cu0.5Ag0.5Ca1Sn0.5Ge0.5Te4_kesterite,1.19
Na0.5Rb0.5Cu0.5Ag0.5Mg0.5Ba0.5Ge1S2Te2_stannite,1.31
Na0.5Rb0.5Cu0.5Ag0.5Sr0.5Ba0.5Sn0.5Ge0.5S1Te3_kesterite,1.06
Na0.5Rb0.5Cu0.5Ag0.5Sr0.5Ba0.5Sn0.5Ge0.5S1Te3_stannite,1.19
Na0.5Rb0.5Cu0.5Ag0.5Zn1Sn1S3Te1_kesterite,1.16
Na0.5Rb0.5Cu1Mg0.5Ba0.5Sn0.5Ge0.5Se4_kesterite,1.58
Na0.5Rb0.5Cu1Mg0.5Ba0.5Sn0.5Ge0.5Se4_stannite,1.42
Na0.5Rb0.5Cu1Mg0.5Zn0.5Sn1S4_kesterite,-0.37
Na0.5Rb0.5Cu1Mg0.5Zn0.5Sn1S4_stannite,1.46
Na0.5Rb0.5Cu1Sr0.5Ba0.5Sn1S3Se1_stannite,2.27
Na0.5Rb0.5Cu1Sr1Sn0.5Ge0.5S2Te2_stannite,1.67
Na0.5Rb0.5Ga0.5In0.5S1Te1_kesterite,2.36
Na0.5Rb0.5Ga0.5In0.5S1Te1_stannite,0.65
Na0.5Rb0.5Ga0.5In0.5Te2_stannite,0.76
Na0.5Rb0.5Ga1S1Se1_kesterite,2.97
Na0.5Rb0.5Ga1S1Se1_stannite,1.18
Na0.5Rb0.5Ga1S1Te1_kesterite,2.53
Na0.5Rb0.5Ga1S1Te1_stannite,0.45
Na0.5Rb0.5Ga1S2_kesterite,3.63
Na0.5Rb0.5Ga1Se1Te1_kesterite,2.11
Na0.5Rb0.5Ga1Se1Te1_stannite,0.43
Na0.5Rb0.5Ga1Se2_kesterite,2.5
Na0.5Rb0.5Ga1Se2_stannite,0.91
Na0.5Rb0.5In1S2_kesterite,2.73
Na0.5Rb0.5In1S2_stannite,1.88
Na0.5Rb0.5In1Se1Te1_kesterite,1.84
Na0.5Rb0.5In1Se1Te1_stannite,0.76
Na0.5Rb0.5In1Se2_kesterite,2.07
Na0.5Rb0.5In1Se2_stannite,1.75
Na0.5Rb1Ag0.5Ca0.5Ba0.5Sn1S2Se1Te1_kesterite,2.11
Na0.5Rb1Ag0.5Ca0.5Ba0.5Sn1S2Se1Te1_stannite,1.86
Na0.5Rb1Ag0.5Ca1Sn1S3Se1_kesterite,2.62
Na0.5Rb1Ag0.5Ca1Sn1S3Se1_stannite,2.18
Na0.5Rb1Ag0.5Zn0.5Cd0.5Ge1S2Se2_kesterite,2.33
Na0.5Rb1Ag0.5Zn0.5Cd0.5Ge1S2Se2_stannite,1
Na0.5Rb1Cs0.5Ca0.5Zn0.5Sn0.5Ge0.5S4_stannite,2.06
Na0.5Rb1Cs0.5Mg0.5Sr0.5Sn0.5Ge0.5S2Se1Te1_stannite,0.77
Na0.5Rb1Cu0.5Cd1Sn1S1Te3_stannite,0.39
Na0.5Rb1Cu0.5Sr0.5Zn0.5Sn0.5Ge0.5S4_stannite,0.01
Na1.5Ag0.5Mg0.5Cd0.5Ge1Se3Te1_kesterite,1.9
Na1.5Ag0.5Mg0.5Cd0.5Ge1Se3Te1_stannite,0.63
Na1.5Ag0.5Mg0.5Cd0.5Ge1Se4_kesterite,1.7
Na1.5Ag0.5Mg0.5Cd0.5Ge1Se4_stannite,1.67
Na1.5Ag0.5Sr0.5Zn0.5Ge1S1Se3_kesterite,2.35
Na1.5Ag0.5Sr0.5Zn0.5Ge1S1Se3_stannite,1.74
Na1.5Cs0.5Sr0.5Zn0.5Sn0.5Ge0.5S2Se1Te1_stannite,0.74
Na1.5Cu0.5Ba0.5Zn0.5Sn1S2Se1Te1_stannite,0.69
Na1.5K0.5Ba1Ge1S3Te1_kesterite,2.32
Na1.5K0.5Ca0.5Ba0.5Ge1S1Se3_kesterite,2.51
Na1.5K0.5Ca0.5Ba0.5Ge1S1Se3_stannite,2.02
Na1.5K0.5Sr0.5Cd0.5Sn1S1Se3_stannite,1.93
Na1.5K0.5Zn0.5Cd0.5Ge1S1Se1Te2_kesterite,2.09
Na1.5K0.5Zn0.5Cd0.5Ge1S1Se1Te2_stannite,0.38
Na1.5Rb0.5Ca0.5Sr0.5Sn0.5Ge0.5S3Te1_kesterite,1.96
Na1.5Rb0.5Ca0.5Sr0.5Sn0.5Ge0.5S3Te1_stannite,1.37
Na1.5Rb0.5Mg0.5Zn0.5Ge1S1Te3_stannite,0.55
Na1.5Rb0.5Sr0.5Ba0.5Sn0.5Ge0.5S2Se2_kesterite,2.75
Na1Ag1Ba1Ge1S3Se1_kesterite,2.33
Na1Ag1Ba1Ge1S3Se1_stannite,2.1
Na1Ag1Ca1Ge1S3Te1_kesterite,1.04
Na1Ag1Ca1Ge1S3Te1_stannite,1.68
Na1Ag1Cd1Sn0.5Ge0.5S1Se2Te1_kesterite,1.42
Na1Ag1Cd1Sn0.5Ge0.5S1Se2Te1_stannite,0.36
Na1Al0.5In0.5S1Te1_kesterite,2.65
Na1Al0.5In0.5S1Te1_stannite,0.88
Na1Al0.5In0.5Se1Te1_kesterite,2.44
Na1Al0.5In0.5Se1Te1_stannite,1.04
Na1Al1S2_kesterite,4.76
Na1Al1S2_stannite,3.58
Na1Al1Se1Te1_kesterite,2.98
Na1Al1Se1Te1_stannite,1.27
Na1Al1Se2_kesterite,3.59
Na1Al1Se2_stannite,2.51
Na1Al1Te2_kesterite,2.87
Na1Al1Te2_stannite,1.79
Na1Cs0.5Ag0.5Ba0.5Zn0.5Sn0.5Ge0.5S2Se2_kesterite,1.45
Na1Cs0.5Ag0.5Ba0.5Zn0.5Sn0.5Ge0.5S2Se2_stannite,0.71
Na1Cs0.5Ag0.5Ca0.5Sr0.5Sn1S2Se1Te1_kesterite,1.6
Na1Cs0.5Ag0.5Ca0.5Sr0.5Sn1S2Se1Te1_stannite,1.42
Na1Cs0.5Ag0.5Mg1Ge1S3Te1_kesterite,2.72
Na1Cs0.5Ag0.5Mg1Ge1S3Te1_stannite,0.28
Na1Cs0.5Cu0.5Mg0.5Sr0.5Ge1Se4_kesterite,2.11
Na1Cs0.5Cu0.5Zn1Sn0.5Ge0.5S4_stannite,1.57
Na1Cs1Mg0.5Ca0.5Ge1S1Se2Te1_stannite,0.69
Na1Cu0.5Ag0.5Ba0.5Cd0.5Ge1S4_kesterite,0.08
Na1Cu0.5Ag0.5Ba0.5Cd0.5Ge1S4_stannite,1.31
Na1Cu0.5Ag0.5Ca0.5Sr0.5Ge1S1Se1Te2_kesterite,1.18
Na1Cu0.5Ag0.5Sr0.5Cd0.5Sn1S2Se2_stannite,1.58
Na1Cu1Ba0.5Zn0.5Sn0.5Ge0.5S1Se3_kesterite,1.52
Na1Cu1Ba0.5Zn0.5Sn0.5Ge0.5S1Se3_stannite,1.02
Na1Cu1Ca0.5Zn0.5Sn1Se2Te2_stannite,0.76
Na1Cu1Cd1Sn0.5Ge0.5S3Se1_stannite,1.24
Na1Cu1Mg0.5Sr0.5Sn1Se3Te1_stannite,1.05
Na1Ga1S1Se1_kesterite,3.1
Na1Ga1S1Se1_stannite,1.43
Na1Ga1S2_kesterite,3.8
Na1Ga1S2_stannite,2.74
Na1Ga1Se2_kesterite,2.72
Na1Ga1Se2_stannite,1.76
Na1Ga1Te2_kesterite,2.08
Na1Ga1Te2_stannite,0.92
Na1In1S2_kesterite,3.09
Na1In1S2_stannite,2.66
Na1In1Se2_kesterite,2.31
Na1In1Se2_stannite,1.78
Na1In1Te2_kesterite,1.89
Na1In1Te2_stannite,1.18
Na1K0.5Ag0.5Ba0.5Zn0.5Sn1S3Te1_kesterite,1.81
Na1K0.5Ag0.5Ba0.5Zn0.5Sn1S3Te1_stannite,-0.74
Na1K0.5Ag0.5Ba1Ge1S1Se1Te2_stannite,1.61
Na1K0.5Ag0.5Ca0.5Cd0.5Sn0.5Ge0.5S1Se1Te2_kesterite,1.3
Na1K0.5Ag0.5Mg0.5Ba0.5Sn0.5Ge0.5S3Te1_kesterite,2.15
Na1K0.5Ag0.5Mg0.5Ba0.5Sn0.5Ge0.5S3Te1_stannite,0.78
Na1K0.5Ag0.5Sr0.5Ba0.5Sn1S4_kesterite,1.77
Na1K0.5Ag0.5Sr0.5Ba0.5Sn1S4_stannite,1.73
Na1K0.5Cs0.5Ba0.5Cd0.5Ge1Se3Te1_stannite,1.63
Na1K0.5Cs0.5Sr1Ge1S1Se3_stannite,2.5
Na1K0.5Cu0.5Ba0.5Zn0.5Sn0.5Ge0.5S3Te1_stannite,1.57
Na1K0.5Cu0.5Ba0.5Zn0.5Sn1S1Te3_kesterite,1.24
Na1K0.5Cu0.5Ba0.5Zn0.5Sn1S1Te3_stannite,0.49
Na1K0.5Cu0.5Zn1Sn0.5Ge0.5S2Se1Te1_kesterite,1.97
Na1K0.5Cu0.5Zn1Sn0.5Ge0.5S2Se1Te1_stannite,-0.07
Na1K0.5Rb0.5Ba0.5Zn0.5Ge1Se4_stannite,1.53
Na1K0.5Rb0.5Ca0.5Ba0.5Sn0.5Ge0.5S1Se1Te2_stannite,1.19
Na1K0.5Rb0.5Ca0.5Sr0.5Sn0.5Ge0.5Se3Te1_stannite,1.56
Na1K0.5Rb0.5Cd1Ge1S1Se3_kesterite,2.39
Na1K0.5Rb0.5Cd1Ge1S1Se3_stannite,1.46
Na1K0.5Rb0.5Mg0.5Ca0.5Sn1S3Se1_kesterite,2.7
Na1K0.5Rb0.5Mg0.5Ca0.5Sn1S3Se1_stannite,1.95
Na1K0.5Rb0.5Mg0.5Cd0.5Sn1Te4_stannite,1.17
Na1K0.5Rb0.5Sr1Ge1S3Te1_kesterite,2.45
Na1K0.5Rb0.5Sr1Ge1S3Te1_stannite,1.56
Na1K1Zn0.5Cd0.5Sn1S1Se2Te1_stannite,0.42
Na1Rb0.5Ag0.5Ca1Ge1S1Te3_stannite,1.54
Na1Rb0.5Ag0.5Cd1Sn0.5Ge0.5S1Se1Te2_kesterite,1.54
Na1Rb0.5Ag0.5Mg0.5Ca0.5Sn0.5Ge0.5S1Te3_stannite,0.52
Na1Rb0.5Ag0.5Mg0.5Zn0.5Sn1S2Se2_kesterite,2.67
Na1Rb0.5Ag0.5Mg0.5Zn0.5Sn1S2Se2_stannite,1.26
Na1Rb0.5Ag0.5Sr0.5Zn0.5Ge1S1Se3_kesterite,1.93
Na1Rb0.5Ag0.5Sr0.5Zn0.5Ge1S1Se3_stannite,0.86
Na1Rb0.5Cs0.5Ba1Sn1Se4_kesterite,2.49
Na1Rb0.5Cs0.5Ba1Sn1Se4_stannite,2.56
Na1Rb0.5Cu0.5Ca0.5Cd0.5Sn1S3Te1_kesterite,1.93
Na1Rb0.5Cu0.5Ca0.5Cd0.5Sn1S3Te1_stannite,0.7
Na1Rb0.5Cu0.5Ca0.5Cd0.5Sn1Se4_kesterite,-0.3
Na1Rb0.5Cu0.5Ca0.5Cd0.5Sn1Se4_stannite,0.13
Na1Rb0.5Cu0.5Ca0.5Zn0.5Ge1S2Se1Te1_kesterite,2.29
Na1Rb0.5Cu0.5Ca1Sn1S3Se1_kesterite,-0.13
Na1Rb0.5Cu0.5Mg0.5Cd0.5Sn1S1Se2Te1_kesterite,1.91
Na1Rb0.5Cu0.5Mg0.5Cd0.5Sn1S1Se2Te1_stannite,0.31
Na1Rb0.5Cu0.5Mg1Sn0.5Ge0.5Te4_stannite,1.02
Na1Rb1Mg0.5Zn0.5Ge1S1Se2Te1_stannite,0.25
Na2Ba1Ge1S4_kesterite,3.37
Na2Ba1Ge1S4_stannite,3.49
Na2Ba1Ge1Se4_kesterite,2.6
Na2Ba1Ge1Se4_stannite,2.57
Na2Ba1Ge1Te4_kesterite,1.92
Na2Ba1Ge1Te4_stannite,1.19
Na2Ba1Sn1S4_kesterite,3.28
Na2Ba1Sn1S4_stannite,3.62
Na2Ba1Sn1Se4_kesterite,2.58
Na2Ba1Sn1Se4_stannite,2.79
Na2Ba1Sn1Te4_kesterite,2.06
Na2Ba1Sn1Te4_stannite,1.52
Na2Ca1Ge1S4_kesterite,3.86
Na2Ca1Ge1S4_stannite,3.4
Na2Ca1Ge1Se4_kesterite,3.02
Na2Ca1Ge1Se4_stannite,2.56
Na2Ca1Ge1Te4_kesterite,0.96
Na2Ca1Ge1Te4_stannite,1.86
Na2Ca1Sn1S4_kesterite,3.64
Na2Ca1Sn1S4_stannite,3.27
Na2Ca1Sn1Se4_kesterite,2.9
Na2Ca1Sn1Se4_stannite,2.52
Na2Ca1Sn1Te4_kesterite,2.21
Na2Ca1Sn1Te4_stannite,1.88
Na2Cd1Ge1S4_kesterite,2.44
Na2Cd1Ge1S4_stannite,1.76
Na2Cd1Ge1Se4_kesterite,2.44
Na2Cd1Ge1Se4_stannite,1.76
Na2Cd1Ge1Te4_kesterite,1.74
Na2Cd1Ge1Te4_stannite,1.05
Na2Cd1Sn1S4_kesterite,3.01
Na2Cd1Sn1S4_stannite,2.65
Na2Cd1Sn1Se4_kesterite,2.22
Na2Cd1Sn1Se4_stannite,1.81
Na2Cd1Sn1Te4_kesterite,1.71
Na2Cd1Sn1Te4_stannite,1.1
Na2Mg0.5Sr0.5Sn1S2Te2_kesterite,2.34
Na2Mg0.5Sr0.5Sn1S2Te2_stannite,1.23
Na2Mg1Ge1S3Se1_kesterite,2.88
Na2Mg1Ge1S3Se1_stannite,2
Na2Mg1Ge1S4_kesterite,3.95
Na2Mg1Ge1S4_stannite,2.96
Na2Mg1Ge1Se4_kesterite,2.89
Na2Mg1Ge1Se4_stannite,1.98
Na2Mg1Ge1Te4_kesterite,1.55
Na2Mg1Ge1Te4_stannite,1.25
Na2Mg1Sn1S4_kesterite,3.47
Na2Mg1Sn1S4_stannite,2.89
Na2Mg1Sn1Se4_kesterite,2.61
Na2Mg1Sn1Se4_stannite,2.03
Na2Mg1Sn1Te4_kesterite,1.85
Na2Mg1Sn1Te4_stannite,1.31
Na2Sr1Ge1S4_kesterite,3.62
Na2Sr1Ge1S4_stannite,3.69
Na2Sr1Ge1Se4_kesterite,2.82
Na2Sr1Ge1Se4_stannite,2.81
Na2Sr1Ge1Te4_kesterite,2.09
Na2Sr1Ge1Te4_stannite,2.1
Na2Sr1Sn1S4_kesterite,3.47
Na2Sr1Sn1S4_stannite,3.56
Na2Sr1Sn1Se4_kesterite,2.77
Na2Sr1Sn1Se4_stannite,2.75
Na2Sr1Sn1Te4_kesterite,2.19
Na2Sr1Sn1Te4_stannite,2.05
Na2Zn1Ge1S4_kesterite,3.64
Na2Zn1Ge1S4_stannite,2.59
Na2Zn1Ge1Se2Te2_kesterite,1.95
Na2Zn1Ge1Se2Te2_stannite,0.63
Na2Zn1Ge1Se4_kesterite,2.57
Na2Zn1Ge1Se4_stannite,1.58
Na2Zn1Ge1Te4_kesterite,1.56
Na2Zn1Ge1Te4_stannite,0.74
Na2Zn1Sn1S4_kesterite,3.15
Na2Zn1Sn1S4_stannite,2.54
Na2Zn1Sn1Se4_kesterite,2.3
Na2Zn1Sn1Se4_stannite,1.62
Na2Zn1Sn1Te4_kesterite,1.75
Na2Zn1Sn1Te4_stannite,0.85
Rb0.5Ag0.5Al0.5Ga0.5S1Se1_kesterite,2.37
Rb0.5Ag0.5Al0.5Ga0.5S1Se1_stannite,1.14
Rb0.5Ag0.5Al0.5Ga0.5S1Te1_kesterite,2.12
Rb0.5Ag0.5Al0.5Ga0.5S1Te1_stannite,0.49
Rb0.5Ag0.5Al0.5Ga0.5Se2_kesterite,1.98
Rb0.5Ag0.5Al0.5Ga0.5Se2_stannite,1.06
Rb0.5Ag0.5Al0.5Ga0.5Te2_kesterite,1.36
Rb0.5Ag0.5Al0.5Ga0.5Te2_stannite,0.67
Rb0.5Ag0.5Al0.5In0.5S1Se1_kesterite,2.3
Rb0.5Ag0.5Al0.5In0.5S1Se1_stannite,1.42
Rb0.5Ag0.5Al0.5In0.5Te2_kesterite,1.31
Rb0.5Ag0.5Al0.5In0.5Te2_stannite,0.79
Rb0.5Ag0.5Al1S1Te1_kesterite,2.31
Rb0.5Ag0.5Al1S1Te1_stannite,0.72
Rb0.5Ag0.5Al1S2_kesterite,3.34
Rb0.5Ag0.5Al1Te2_kesterite,1.85
Rb0.5Ag0.5Ga0.5In0.5S2_kesterite,2.22
Rb0.5Ag0.5Ga0.5In0.5S2_stannite,1.57
Rb0.5Ag0.5Ga0.5In0.5Te2_kesterite,1.05
Rb0.5Ag0.5Ga0.5In0.5Te2_stannite,0.52
Rb0.5Ag0.5Ga1S2_kesterite,2.68
Rb0.5Ag0.5Ga1Se1Te1_kesterite,1.34
Rb0.5Ag0.5Ga1Se1Te1_stannite,0.35
Rb0.5Ag0.5Ga1Te2_stannite,0.38
Rb0.5Ag1.5Sr0.5Cd0.5Ge1S1Se3_kesterite,1.72
Rb0.5Ag1.5Sr0.5Cd0.5Ge1S1Se3_stannite,1.04
Rb0.5Ag1.5Zn1Sn1S1Se3_kesterite,1.34
Rb0.5Ag1.5Zn1Sn1S1Se3_stannite,0.58
Rb0.5Cs0.5Ag1Ca0.5Zn0.5Sn0.5Ge0.5S2Se2_stannite,1.36
Rb0.5Cs0.5Ag1Ca0.5Zn0.5Sn0.5Ge0.5Se1Te3_stannite,0.63
Rb0.5Cs0.5Al0.5In0.5S2_kesterite,3.53
Rb0.5Cs0.5Al0.5In0.5Se1Te1_kesterite,2.4
Rb0.5Cs0.5Al0.5In0.5Se1Te1_stannite,0.7
Rb0.5Cs0.5Cu0.5Ag0.5Ba1Sn1S3Se1_kesterite,0.71
Rb0.5Cs0.5Cu0.5Ag0.5Ba1Sn1S3Se1_stannite,1.99
Rb0.5Cs0.5Cu0.5Ag0.5Ca1Ge1S2Se2_stannite,-0.22
Rb0.5Cs0.5Cu0.5Ag0.5Mg0.5Cd0.5Ge1S2Se1Te1_kesterite,1.54
Rb0.5Cs0.5Cu0.5Ag0.5Mg0.5Cd0.5Ge1S2Se1Te1_stannite,0.59
Rb0.5Cs0.5Ga0.5In0.5S2_kesterite,3.15
Rb0.5Cs0.5Ga0.5In0.5S2_stannite,2.17
Rb0.5Cs0.5In1S1Se1_kesterite,2.45
Rb0.5Cs0.5In1S1Se1_stannite,1.39
Rb0.5Cs0.5In1Se2_kesterite,2.14
Rb0.5Cs0.5In1Se2_stannite,1.53
Rb0.5Cs1Ag0.5Zn1Ge1S1Se3_kesterite,0.71
Rb0.5Cs1Ag0.5Zn1Ge1S1Se3_stannite,1.07
Rb0.5Cu0.5Ag1Ba0.5Cd0.5Sn0.5Ge0.5Se1Te3_kesterite,1.18
Rb0.5Cu0.5Ag1Ba0.5Cd0.5Sn0.5Ge0.5Se1Te3_stannite,0.6
Rb0.5Cu0.5Ag1Ca0.5Cd0.5Sn0.5Ge0.5Se1Te3_kesterite,1.06
Rb0.5Cu0.5Ag1Ca0.5Cd0.5Sn0.5Ge0.5Se1Te3_stannite,0.64
Rb0.5Cu0.5Ag1Ca1Sn1S2Te2_stannite,1.41
Rb0.5Cu0.5Ag1Mg0.5Sr0.5Ge1Se3Te1_stannite,0.81
Rb0.5Cu0.5Al0.5Ga0.5S1Se1_kesterite,-0.44
Rb0.5Cu0.5Al0.5Ga0.5S1Se1_stannite,1.19
Rb0.5Cu0.5Al0.5Ga0.5S1Te1_kesterite,1.91
Rb0.5Cu0.5Al0.5Ga0.5S1Te1_stannite,0.48
Rb0.5Cu0.5Al0.5Ga0.5S2_stannite,1.26
Rb0.5Cu0.5Al0.5Ga0.5Se1Te1_kesterite,1.23
Rb0.5Cu0.5Al0.5Ga0.5Se1Te1_stannite,0.65
Rb0.5Cu0.5Al0.5Ga0.5Se2_kesterite,1.27
Rb0.5Cu0.5Al0.5Ga0.5Se2_stannite,0.94
Rb0.5Cu0.5Al0.5Ga0.5Te2_kesterite,1.18
Rb0.5Cu0.5Al0.5Ga0.5Te2_stannite,0.76
Rb0.5Cu0.5Al0.5In0.5S1Te1_kesterite,1.54
Rb0.5Cu0.5Al0.5In0.5S1Te1_stannite,0.59
Rb0.5Cu0.5Al0.5In0.5S2_kesterite,2.2
Rb0.5Cu0.5Al0.5In0.5S2_stannite,1.62
Rb0.5Cu0.5Al1S1Se1_kesterite,0.72
Rb0.5Cu0.5Al1S1Se1_stannite,1.69
Rb0.5Cu0.5Al1S1Te1_kesterite,2.24
Rb0.5Cu0.5Al1S1Te1_stannite,0.72
Rb0.5Cu0.5Al1Se1Te1_kesterite,1.68
Rb0.5Cu0.5Al1Se1Te1_stannite,0.9
