Semiconductors,gap
Cs0.5Cu0.5In1S2_stannite,1.33
Cs0.5Cu0.5In1Se1Te1_kesterite,0.43
Cs0.5Cu0.5In1Se1Te1_stannite,0.6
Cs0.5Cu1.5Ba0.5Cd0.5Sn1S4_stannite,1.16
Cs0.5Cu1.5Mg0.5Ca0.5Sn1Se4_kesterite,1.6
Cs0.5Cu1.5Mg0.5Ca0.5Sn1Se4_stannite,0.25
Cs0.5Cu1.5Zn1Sn1S1Se1Te2_kesterite,0.83
Cs0.5Cu1.5Zn1Sn1S1Se1Te2_stannite,0.26
Cs1.5Ag0.5Mg1Sn1S2Se2_kesterite,2.56
Cs1.5Ag0.5Mg1Sn1S2Se2_stannite,1.66
Cs1.5Ag0.5Sr1Ge1S3Se1_kesterite,3.15
Cs1Ag1Ca0.5Sr0.5Ge1S1Se2Te1_kesterite,1.33
Cs1Ag1Ca0.5Sr0.5Ge1S1Se2Te1_stannite,1.59
Cs1Al0.5Ga0.5Se1Te1_kesterite,2.48
Cs1Al0.5Ga0.5Se1Te1_stannite,0.57
Cs1Al0.5In0.5S1Te1_kesterite,2.69
Cs1Al0.5In0.5S1Te1_stannite,0.55
Cs1Al0.5In0.5Se1Te1_kesterite,2.41
Cs1Al0.5In0.5Se1Te1_stannite,0.71
Cs1Al1S2_kesterite,4.41
Cs1Al1Se1Te1_kesterite,3.06
Cs1Al1Se1Te1_stannite,0.81
Cs1Al1Se2_kesterite,3.69
Cs1Al1Se2_stannite,1.85
Cs1Al1Te2_stannite,0.9
Cs1Cu0.5Ag0.5Ba0.5Zn0.5Sn1S1Se1Te2_stannite,0.73
Cs1Cu0.5Ag0.5Cd1Ge1S3Te1_kesterite,0.32
Cs1Cu0.5Ag0.5Cd1Ge1S3Te1_stannite,0.37
Cs1Cu0.5Ag0.5Mg0.5Ba0.5Sn0.5Ge0.5S1Se2Te1_stannite,1.1
Cs1Cu0.5Ag0.5Sr0.5Ba0.5Sn0.5Ge0.5S3Te1_stannite,1.71
Cs1Cu0.5Ag0.5Sr1Ge1S1Se2Te1_kesterite,0.95
Cs1Cu0.5Ag0.5Sr1Ge1S2Te2_stannite,1.62
Cs1Cu1Ba0.5Cd0.5Ge1Se4_stannite,0.74
Cs1Cu1Sr1Sn0.5Ge0.5S1Te3_stannite,1.05
Cs1Ga0.5In0.5Se2_kesterite,2.34
Cs1Ga0.5In0.5Se2_stannite,1.45
Cs1Ga0.5In0.5Te2_stannite,0.73
Cs1Ga1S2_kesterite,3.63
Cs1Ga1S2_stannite,2.07
Cs1Ga1Se2_kesterite,2.65
Cs1Ga1Se2_stannite,1.41
Cs1Ga1Te2_kesterite,1.89
Cs1Ga1Te2_stannite,0.65
Cs1In1S2_kesterite,2.84
Cs1In1S2_stannite,1.76
Cs1In1Se2_kesterite,2.24
Cs1In1Se2_stannite,1.59
Cs1In1Te2_kesterite,1.72
Cs1In1Te2_stannite,0.98
Cs2Ba1Ge1S4_kesterite,3.33
Cs2Ba1Ge1S4_stannite,2.73
Cs2Ba1Ge1Se4_kesterite,2.62
Cs2Ba1Ge1Se4_stannite,2.17
Cs2Ba1Ge1Te4_kesterite,1.56
Cs2Ba1Ge1Te4_stannite,1.57
Cs2Ba1Sn1S4_kesterite,3.48
Cs2Ba1Sn1S4_stannite,2.84
Cs2Ba1Sn1Se4_kesterite,2.79
Cs2Ba1Sn1Se4_stannite,2.27
Cs2Ba1Sn1Te4_kesterite,1.79
Cs2Ba1Sn1Te4_stannite,1.72
Cs2Ca1Ge1S4_kesterite,3.61
Cs2Ca1Ge1S4_stannite,2.66
